name, performance_score, sustainability_score, unminified_html_score, unminified_html_value, unminified_css_score, unminified_css_value, unminified_js_score, unminified_js_value, video_codec_score, video_codec_value, font_family_score, font_family_value, font_format_score, font_format_value, responsive_images_score, responsive_images_value, optimised_images_score, optimised_images_value, text_compression_score, text_compression_value
Agrocampus_Ouest,0.64,0.25,0.83,12393,1,0,0.5,0,None,0,0,21,0.1,19,0,530,0.5,0,1,0
Ajman_University,0.74,0.33,0.78,27180,1,0,1,0,None,0,0,4,0.29,5,0.5,5150,0,1610,1,0
Appalachian_State_University_ASU,0.29,0.47,0.85,6500,1,0,1,0,None,0,0,4,1,0,0,14450,0.5,2790,0,2540
Baku_State_University,0.54,0.52,0.66,17891,0.5,0,1,0,None,0,0,5,0.93,2,0.5,15210,0.5,5780,0,3060
Beijing_University_of_Posts_and_Telecommunications,0.5,None,0.87,4347,0.5,0,1,0,None,0,None,None,1,0,0,26140,0,31350,1,0
Birmingham_City_University_,0.56,0.56,0.88,17168,1,0,1,0,None,0,0,9,0.54,6,0.5,160,1,0,0.5,0
California_Polytechnic_State_University,0.54,0.74,0.88,13146,1,0,1,0,None,0,0,8,0.93,1,1,0,1,0,0.5,0
Central_Michigan_University,0.4,0.57,0.78,18508,0.5,0,0.5,0,None,0,0,6,0.92,1,1,0,0.5,490,0,330
China_University_of_Petroleum,0.54,0.22,0.76,11030,1,0,0.5,0,None,0,0,1,0,1,0,72000,0.5,25050,1,0
CUNY_Hunter_College,0.63,0.58,0.88,9244,1,0,1,0,None,0,0,4,0.98,1,0,1860,1,0,1,0
Cyprus_University_of_Technology,0.49,0.49,0.63,36550,1,0,1,0,None,0,0,4,1,0,0.5,0,0,16690,1,0
CY_Cergy_Paris_University,0.5,0.51,0.55,127923,1,0,0.5,0,1,0,0,2,0,8,0.5,3670,0.5,1830,0,1500
Ecole_Centrale_de_Lyon,0.45,0.63,1,2598,1,0,0.5,0,None,0,0,4,0.67,2,1,0,1,0,0,150
EGE_UNIVERSITY,0.55,0.23,0.61,40779,0,660,0.5,0,None,0,0,11,0.75,2,0,3070,0,3070,0,4390
Escuela_Politécnica_Nacional,0.32,0.38,0.91,15387,0,170,0,490,None,0,0,15,0.69,17,0.5,2200,0.5,1710,1,0
Fordham_University_,0.21,0.57,0.75,25730,1,0,1,0,None,0,0,1,1,0,0,6620,1,0,0.5,80
Fundação_Getulio_Vargas,0.14,0.16,1,10098,1,0,0,330,None,0,0,8,0,8,0,8190,0.5,500,0,1120
Georgia_Southern_University,0.31,None,0.89,18686,0.5,0,1,0,None,None,0,14,0.72,9,0.5,790,0.5,260,0,240
German_Jordanian_University,0.55,0.45,0.92,5648,0,500,0,3200,1,0,0,10,0.8,1,0,4000,0,4930,0,5150
Graphic_Era_Deemed_University,0.75,0.67,0.95,15668,0,0,1,0,1,0,0,22,0.88,6,0.5,4200,0.5,4200,1,0
Guangxi_University,0.58,0.59,0.76,7760,1,0,0.5,0,None,0,1,0,1,0,0,115500,0,70200,1,0
Harbin_Engineering_University,0.55,0.67,0.69,25182,0.5,0,0.5,0,1,0,0,8,1,0,0.5,57900,0.5,7800,1,0
HeFei_University_of_Technology,0.44,0.63,0.86,4386,1,0,1,0,None,0,1,0,1,0,0,67650,0,52500,1,0
Hunan_Normal_University,0.17,0.57,0.7,6725,0.5,0,1,0,1,0,0,1,1,0,0,22650,0,750,1,0
Hungarian_University_of_Agriculture_and_Life_Sciences,0.37,0.3,0.85,23912,0.5,0,0,0,None,0,0,22,0.33,2,1,0,0,7340,0,160
I-Shou_University_ISU,0.55,0.48,0.91,10794,0,2740,0.5,460,None,0,0,5,1,0,0.5,150,0.5,2110,0,20550
Indian_Institute_of_Technology_Ropar,0.5,0.11,0.9,7537,0.5,0,0.5,0,None,0,0,3,0,1,0,5440,0,1210,1,0
International_Hellenic_University,0.56,0.59,1,1948,1,0,1,0,None,0,0,6,0.99,1,1,0,0,23060,1,0
International_Islamic_University_Malaysia_IIUM,0.35,0.26,0.84,30930,0,460,0,170,None,0,0,9,0.98,3,0,43720,0,8980,1,0
Jiangnan_University,0.55,0.53,0.79,28907,0,0,0.5,250,1,0,0,8,0.99,2,0,29670,0,27510,1,0
JSS_Academy_of_Higher_Education_and_Research_Deemed_to_be_University,0.54,0.25,0.89,12448,0,0,0,0,None,0,0,4,0.93,4,0,52590,0,12370,1,0
Karunya_Institute_of_Technology_and_Sciences_-_Deemed_to_be_University,0.24,0.41,1,2775,1,0,1,0,None,0,0,12,0.99,2,0,22040,0,19610,1,0
Kharkiv_National_University_of_Radio_Electronics_,0.37,0.36,1,-3801,1,0,1,0,None,0,0,8,0.38,5,0,12890,0.5,370,1,0
Koneru_Lakshmaiah_Education_Foundation,0.33,None,0.72,39540,0.5,0,0.5,310,None,None,0,8,0.8,5,0,4600,0,5840,0,620
Leeds_Beckett_University,0.41,0.77,0.82,194867,1,0,1,0,None,0,0,2,1,0,1,0,1,0,1,0
Lobachevsky_University,0.28,0.39,0.86,14480,0,0,1,0,None,0,0,14,0.33,12,1,0,0,10770,1,0
Lucian_Blaga_University_of_Sibiu,0.53,0.21,0.76,25560,0,190,0,400,None,0,0,6,0.86,10,0,18110,0,13070,0,6630
Majmaah_University,0.55,0.32,1,-687,1,0,1,0,None,0,0,4,0.6,2,0,5700,0,900,1,0
Management_and_Science_University,0.46,0.4,0.81,16405,0,170,0,340,None,0,0,8,0.37,43,1,0,0.5,4820,1,0
Mapua_University,0.32,0.48,0.87,73289,1,0,1,0,None,0,0,5,0.94,1,0,189540,0.5,15800,1,0
Marquette_University,0.49,0.13,0.94,3560,0,0,1,0,None,0,0,46,0,51,0,3860,0,1550,1,0
Mendel_University_in_Brno,0.56,0.54,0.64,60026,1,0,1,0,None,0,0,1,0,20,1,0,1,0,1,0
National_Institute_of_Technology_Karnataka_Surathkal,0.24,0.45,0.39,847989,0.5,0,0,0,None,0,0,7,0.96,3,0.5,0,0.5,12240,1,0
Northeast_Normal_University,0.31,None,0.73,22424,1,0,0,430,None,None,0,9,0,3,0,4050,0,3430,1,0
Northern_Illinois_University,0.42,0.44,0.45,61560,0,0,1,0,None,0,0,12,1,2,0,3520,0.5,0,1,0
North_China_Electric_Power_University,0.81,0.34,0.8,6534,0.5,0,1,0,None,0,0,1,0,1,0.5,21780,0.5,6630,1,0
Nova_Southeastern_University,0.42,0.43,0.91,5198,0,0,1,0,None,0,0,4,1,0,0,7300,0.5,0,0,1850
Prince_Sattam_Bin_Abdulaziz_University,0.44,0.6,0.77,23471,0,0,0.5,0,1,0,0,29,0.66,18,1,0,0,12460,1,0
Roskilde_University,0.62,0.38,0.67,31302,1,0,1,0,None,0,0,3,0.6,2,0.5,5070,0,650,0,4090
Shahid_Beheshti_University_SBU,0.5,0.24,0.81,58284,0,260,0,260,None,0,0,6,0.57,3,0.5,3400,0,13850,0,17780
Sharif_University_of_Technology,0.47,None,0.81,51744,0.5,0,0,260,None,None,0,8,0.91,2,0,5160,0,5160,1,0
Shiv_Nadar_University,0.78,0.59,1,129,1,0,1,0,None,0,0,1,1,0,1,0,0,560,1,0
Silesian_University_of_Technology,0.06,0.4,0.67,258291,0,0,0.5,360,None,0,0,10,1,1,0.5,0,0,9940,1,0
South_Dakota_State_University,0.48,0.78,0.91,8344,1,0,1,0,1,0,0,2,1,0,0.5,150,1,0,1,0
Srinakharinwirot_University,0.41,0.32,1,-326,1,0,0,0,None,0,0,1,1,0,0,25200,0,9300,1,0
Suranaree_University_of_Technology_,0.56,0.5,1,-2242,0.5,0,0,0,None,0,1,0,1,0,0,10740,0,7050,0,1000
Tallinn_University_of_Technology_TalTech,0.32,0.73,1,-4178,1,0,1,0,None,0,0,3,0.86,1,1,0,1,0,0.5,470
The_Islamia_University_of_BahawalpurPakistan,0.45,0.62,0.88,5055,0,350,1,0,1,0,0,3,1,0,0.5,2120,0,1410,1,0
Universidade_Federal_de_Pelotas_,0.36,0.54,0.87,17602,0.5,0,1,0,None,0,0,13,0.89,4,0.5,1580,0.5,390,1,0
Universidade_Federal_de_Pernambuco_UFPE_,0.55,0.52,0.92,54548,1,0,1,0,None,0,0,4,0.29,5,1,0,0.5,240,1,0
Universidade_Federal_do_ABC_UFABC,0.53,0.53,0.84,16337,0.5,0,1,0,None,0,0,5,0.96,2,0.5,1020,0.5,890,0,4080
Universidade_Federal_do_Rio_Grande_Do_Norte,0.33,0.31,1,1598,0,340,1,0,None,0,0,10,0.08,22,0,680,1,0,0,4780
Universidad_de_Monterrey_UDEM,0.13,0.64,0.86,17919,0,2400,0.5,220,1,0,0,7,0.98,1,1,0,0,1250,0.5,160
Universidad_Nacional_Agraria_la_Molina,0.56,0.31,0.82,7137,0.5,0,0.5,0,None,0,0,10,1,0,0,470,0,3730,0,1870
Universidad_Nacional_del_Comahue,0.57,0.59,1,2346,1,0,1,0,None,0,0,7,1,0,0,1240,1,0,1,0
Universidad_Nacional_del_Sur,0.57,0.79,0.76,10377,0.5,0,1,0,None,0,1,0,1,0,1,0,0,11330,1,0
Universidad_Nacional_de_Mar_del_Plata,0.53,0.41,0.91,11401,0,550,0,1680,None,0,0,6,0.91,1,0.5,81450,0.5,3900,0,7400
Universidad_Nacional_de_San_Martín_UNSAM,0.4,0.45,0.94,5289,0,0,0,630,None,0,0,12,1,0,0.5,1320,0.5,870,1,0
Universidad_San_Ignacio_de_Loyola,0.18,0.59,0.95,11059,1,0,1,0,None,0,0,8,1,0,0.5,480,0.5,1450,1,0
Universitas_Islam_Indonesia,0.3,0.56,0.94,11842,0.5,0,1,0,None,0,0,11,0.95,2,0.5,4690,0.5,4380,1,0
Universitas_Negeri_Semarang,0.49,0.56,0.94,9533,0.5,0,0,160,None,0,0,16,0.96,6,0.5,1090,1,0,1,0
Universiti_Malaysia_Sabah_UMS,0.54,0.54,0.94,11526,0,1150,0,90,1,0,0,7,0.99,2,0.5,27020,0,10210,0,15220
University_of_Karachi,0.55,0.76,0.61,13097,0.5,0,0,0,None,0,1,0,1,0,1,0,0.5,660,0,3360
University_of_Novi_Sad,0.55,0.51,0.95,6181,0,120,0,210,None,0,0,4,0.97,1,1,0,0.5,570,0,7340
University_of_Shanghai_for_Science_and_Technology,0.19,None,0.72,113563,0,150,0,300,None,None,0,4,0,1,0.5,9450,0,6300,1,0
University_of_Tabriz,0.63,0.18,0.8,19771,1,0,0.5,0,None,0,0,5,0.22,7,0,3390,0,5640,1,0
University_of_the_South_Pacific,0.49,0.32,0.9,20322,0,450,0,10,None,0,0,8,0.94,3,0.5,11430,0,1500,0,6970
University_of_the_West_of_Scotland_UWS,0.53,0.57,0.9,10357,1,0,1,0,None,0,0,6,0.92,4,0.5,15400,0.5,9400,1,0
University_of_Tyumen,0.51,0.42,0.72,61456,0.5,0,0.5,0,None,0,0,10,0.66,10,0.5,1610,0.5,5530,0,4600
University_of_Wolverhampton,0.37,0.49,0.73,81822,0.5,0,0.5,0,None,0,0,8,0.92,2,0.5,320,0.5,0,0.5,0
Università_degli_Studi_della_Campania_Luigi_Vanvitelli,0.6,0.2,0.92,12147,0.5,0,0.5,0,None,0,0,2,0.5,1,0,620,0,770,0,2310
Universität_Mannheim,0.61,0.54,0.92,10029,1,0,1,0,None,0,0,2,0.8,1,0,910,1,0,1,0
Universität_Siegen,0.51,0.57,0.93,2894,0.5,0,1,0,None,0,0,4,1,0,0.5,2020,0.5,5210,1,0
Université_de_Perpignan_Via_Domitia,0.57,0.23,0.7,114632,1,0,0.5,0,None,0,0,5,0.15,22,0.5,890,0,1210,0,2670
Université_Ibn_Tofail,0.69,0.43,0.89,29291,0,170,1,0,None,0,0,11,0.5,14,0.5,8000,0.5,300,1,0
Walailak_University,0.39,0.39,0.78,34689,1,0,1,0,None,0,0,10,0.94,4,0,97650,0,16390,1,0
Wroclaw_University_of_Science_and_Technology_WRUST,0.63,0.38,0.87,28402,0.5,0,1,0,None,0,0,2,1,0,0,2970,0,3490,1,0
